Área;Casos desnutrición aguda (moderada severa);Proporción desnutrición aguda (moderada severa);Casos Retraso en talla;Proporción Retraso en talla;Casos desnutrición global;Proporción desnutrición global;Casos Exceso de peso;Proporción exceso de peso;Total población ;Año
Teusaquillo;96;3;424;13,4;215;6,8;143;4,5;3156;2020
Los Mártires;118;4,2;449;16;265;9,4;114;4,1;2812;2020
Antonio Nariño;100;4,1;430;17,5;210;8,5;144;5,9;2458;2020
Puente Aranda;170;3,3;732;14;345;6,6;285;5,5;5222;2020
Candelaria;54;4,1;220;16,6;123;9,3;67;5,1;1324;2020
Rafael Uribe Uribe;399;3,9;1675;16,5;825;8,1;586;5,8;10180;2020
Ciudad Bolívar;1074;4,6;4079;17,5;1787;7,6;1217;5,2;23374;2020
Sumapaz;5;3,2;43;27,6;9;5,8;15;9,6;156;2020
Distrito;6418;3,7;26942;15,5;12978;7,5;8836;5,1;174050;2020
Usaquén;197;2,4;873;10,5;428;5,1;326;3,9;8.354;2021
Chapinero;99;2,9;372;11,1;177;5,3;162;4,8;3.364;2021
Santa Fe;191;3,1;698;11,5;350;5,7;278;4,6;6.090;2021
San Cristóbal;238;2,4;1.293;13;608;6,1;460;4,6;9.955;2021
Usme;320;3,1;1.544;15;702;6,8;497;4,8;10.274;2021
Tunjuelito;153;3,5;492;11,2;242;5,5;242;5,5;4.406;2021
Bosa;542;2,9;2.168;11,7;1.016;5,5;888;4,8;18.476;2021
Kennedy;764;2,9;2.659;10,2;1.302;5;1.205;4,6;26.032;2021
Fontibón;234;2,8;781;9,5;393;4,8;408;5;8.229;2021
Engativá;392;2,5;1.473;9,2;742;4,6;747;4,7;15.998;2021
Suba;643;2,4;2.572;9,5;1.332;4,9;1.016;3,8;27.020;2021
Barrios Unidos;83;2,7;290;9,5;159;5,2;123;4;3.053;2021
Teusaquillo;105;3;323;9,1;164;4,6;133;3,8;3.545;2021
Los Mártires;109;3,3;347;10,4;183;5,5;168;5;3.331;2021
